主要建材_cat,主要用途_cat,交易年月日_date,備註,全移轉_bin,單價每平方公尺,土地_num,土地移轉總面積平方公尺,建物_num,建物型態_cat,建物現況格局-廳,建物現況格局-房,建物現況格局-衛,建物現況格局-隔間_bin,建物移轉總面積平方公尺,建築完成年月_date,有無管理組織_bin,移轉層次_num,總價元,總樓層數_num,車位_num,車位移轉總面積平方公尺,車位總價元,車位類別_cat,都市土地使用分區_cat,鄉鎮市區_cat
12,2,2013-05-15,預售屋,0,207054.0,1,49.28,2,1,2,3,2,1,264.22,2015-08-04,1,8,44300000,14,2,75.38,5200000,1,1,5
12,2,2013-05-27,預售屋,0,196153.0,1,46.84,1,1,2,3,2,1,221.02,2015-08-04,1,11,38500000,14,1,37.49,2500000,1,1,5
12,2,2013-06-04,預售屋,0,181997.0,1,46.43,1,1,2,3,2,1,216.62,2015-08-04,1,4,35800000,14,1,33.1,2400000,1,1,5
12,2,2014-07-02,不動產之共有人數為２人、預售屋,0,206535.0,1,48.47,1,1,2,3,2,1,226.32,2015-08-04,1,4,41500000,14,1,37.49,2500000,1,1,5
12,2,2013-04-08,預售屋,0,201239.0,1,48.06,1,1,2,3,2,1,221.93,2015-08-04,1,5,40500000,14,1,33.1,2500000,1,1,5
12,2,2013-05-24,預售屋,0,205488.0,1,54.98,1,1,2,4,2,1,289.63,2015-08-04,1,6,49110000,14,2,74.97,5000000,1,1,5
12,2,2015-09-26,,0,203035.0,1,47.02,1,1,2,3,2,1,300.29,2013-04-03,0,3,50000000,15,2,70.28,3300000,1,1,5
12,2,2015-10-14,,0,206391.0,1,5.43,1,5,0,0,1,0,22.53,1997-01-30,1,2,4650000,6,0,0.0,0,0,1,9
12,0,2015-09-27,含增建或未登記建物。,0,214618.0,2,26.88,1,3,2,3,1,1,90.3,1972-09-06,0,3,19380000,4,0,0.0,0,0,1,9
12,2,2015-10-15,,0,226959.0,1,16.62,1,1,2,2,1,1,86.8,1985-05-22,1,7,19700000,17,0,0.0,0,0,1,9
12,0,2015-10-07,親友、員工或其他特殊關係間之交易。含增建或未登記建物。,0,191451.0,1,18.63,1,9,2,3,4,1,89.84,,0,7,17200000,7,0,0.0,0,0,1,9
12,0,2015-10-14,,0,181440.0,2,19.04,1,3,1,3,1,1,57.76,,0,2,10480000,4,0,0.0,0,0,1,9
1,2,2015-10-06,,0,251572.0,1,31.25,1,3,2,2,2,1,87.45,,0,2,22000000,4,0,0.0,0,0,1,9
12,2,2015-10-18,含增建或未登記建物。,0,166248.0,1,7.25,1,1,2,2,1,1,63.76000000000001,1999-09-01,1,8,10600000,14,1,20.37,0,3,2,4
12,8,2015-10-12,親友、員工或其他特殊關係間之交易。,0,51765.0,1,12.69,1,3,2,4,1,1,35.01,,0,3,1812277,4,0,0.0,0,0,4,6
12,2,2015-10-19,,0,178382.0,1,30.8,1,3,2,3,2,1,105.84,1978-12-01,0,4,18880000,5,0,0.0,0,0,2,11
12,2,2015-10-17,1.土地增值稅由買方負擔、契稅由買方負擔2.房屋由買方修繕,0,149806.0,2,15.56,1,1,2,3,2,1,141.97,2004-05-18,1,10,18500000,13,1,28.49,1500000,1,1,7
12,2,2015-09-23,含增建或未登記建物。,0,124160.0,1,25.9,1,3,2,3,2,1,92.22,1983-06-23,0,5,11450000,5,0,0.0,0,0,1,7
12,0,2015-09-30,含增建或未登記建物。,0,415849.0,1,5.24,1,7,1,0,1,1,50.98,,1,1,21200000,14,0,0.0,0,0,2,9
12,2,2015-09-01,,0,212766.0,2,47.8,1,3,3,4,2,1,159.8,1981-03-18,0,5,34000000,5,0,0.0,0,0,1,9
12,2,2015-09-22,親友、員工或其他特殊關係間之交易。權利人共2人,0,119713.0,1,21.55,1,9,2,3,2,1,100.24,1985-01-09,0,7,12000000,7,0,0.0,0,0,1,9
12,2,2015-10-04,,0,150123.0,1,32.38,1,3,2,3,2,1,105.58,1975-02-22,0,2,15850000,4,0,0.0,0,0,2,11
